massa
t	x	y
0.000000000E0	5.062725297E0	1.492402523E0
3.333333333E-2	5.054666632E0	1.500892691E0
6.665555556E-2	5.051774945E0	1.501420988E0
9.997777778E-2	5.040156730E0	1.495247732E0
1.333111111E-1	5.046245333E0	1.488667069E0
1.666444444E-1	5.035294682E0	1.469587525E0
1.999666667E-1	4.979613603E0	1.475075008E0
2.332888889E-1	4.862368116E0	1.490981509E0
2.666222222E-1	4.636657626E0	1.540770712E0
2.999555556E-1	4.344347574E0	1.649103003E0
3.332777778E-1	3.955517320E0	1.788833370E0
3.666000000E-1	3.558806523E0	1.910471983E0
3.999333333E-1	3.104424870E0	2.074685435E0
4.332666667E-1	2.672702895E0	2.147331514E0
4.665888889E-1	2.315261025E0	2.308136634E0
4.999222222E-1	2.080681884E0	2.303678948E0
5.332555556E-1	1.980678161E0	2.124650406E0
5.665777778E-1	1.974967700E0	2.021612442E0
5.999000000E-1	2.085678608E0	1.883741012E0
6.332222222E-1	2.286606820E0	1.770559846E0
6.665777778E-1	2.578755975E0	1.676337385E0
6.998888889E-1	2.925599283E0	1.681597703E0
7.332111111E-1	3.302486988E0	1.631103490E0
7.665444444E-1	3.592492860E0	1.624392501E0
7.998777778E-1	3.922333212E0	1.586321984E0
8.332000000E-1	4.262721965E0	1.563418430E0
8.665333333E-1	4.427692521E0	1.548929561E0
8.998555556E-1	4.556351211E0	1.608260414E0
9.331888889E-1	4.650946220E0	1.655995404E0
9.665111111E-1	4.647238939E0	1.694626703E0
9.998444444E-1	4.550697960E0	1.744887587E0
1.033166667E0	4.385007367E0	1.797523182E0
1.066500000E0	4.159699778E0	1.863513059E0
1.099833333E0	3.882716813E0	1.949089857E0
1.133155556E0	3.584599258E0	1.993022769E0
1.166488889E0	3.267926891E0	2.014307703E0
1.199811111E0	2.945834886E0	2.032315316E0
1.233144444E0	2.703245533E0	2.048897910E0
1.266466667E0	2.503005735E0	2.044604772E0
1.299800000E0	2.355466144E0	2.027035979E0
1.333122222E0	2.309007114E0	2.007843559E0
1.366455556E0	2.336014004E0	1.970925694E0
1.399788889E0	2.447744191E0	1.918028845E0
1.433111111E0	2.643360774E0	1.865634906E0
1.466433333E0	2.872467499E0	1.823342737E0
1.499777778E0	3.108019875E0	1.755223808E0
1.533100000E0	3.386093185E0	1.717414020E0
1.566433333E0	3.572562266E0	1.572646914E0
1.599744444E0	3.875286569E0	1.631914982E0
1.633077778E0	4.079344093E0	1.610252391E0
1.666400000E0	4.220095682E0	1.591196257E0
1.699733333E0	4.298927082E0	1.575237760E0
1.733055556E0	4.323280474E0	1.592277803E0
1.766388889E0	4.295736157E0	1.624030623E0
1.799722222E0	4.191763141E0	1.656172045E0
1.833044444E0	3.994624241E0	1.687286234E0
1.866377778E0	3.778981921E0	1.737081747E0
1.899711111E0	3.499734671E0	1.733756856E0
1.933033333E0	3.273172153E0	1.754982126E0
1.966366667E0	3.074123319E0	1.792317897E0
1.999688889E0	2.863746882E0	1.836249540E0
2.033011111E0	2.710194685E0	1.840787617E0
2.066344444E0	2.605153740E0	1.850038925E0
2.099677778E0	2.567778051E0	1.847758857E0
2.133011111E0	2.565948580E0	1.836543584E0
2.166333333E0	2.618276315E0	1.820660741E0
2.199666667E0	2.740830677E0	1.771362328E0
2.232988889E0	2.927813353E0	1.732948620E0
2.266311111E0	3.133672725E0	1.674057923E0
2.299644444E0	3.339927257E0	1.636683529E0
2.332966667E0	3.532920397E0	1.587325148E0
2.366311111E0	3.697980693E0	1.500635449E0
2.399633333E0	3.864622436E0	1.459096008E0
2.432966667E0	4.013906734E0	1.420547481E0
2.466288889E0	4.104087964E0	1.376789610E0
2.499622222E0	4.131356777E0	1.351386537E0
2.532944444E0	4.116821864E0	1.345975993E0
2.566266667E0	4.041311276E0	1.331626413E0
2.599611111E0	3.917067956E0	1.320759248E0
2.632933333E0	3.759529294E0	1.340296363E0
2.666266667E0	3.573246702E0	1.375101958E0
2.699588889E0	3.377926183E0	1.415663632E0
2.732922222E0	3.191500960E0	1.454628243E0
2.766233333E0	3.011541860E0	1.515702955E0
2.799577778E0	2.851706499E0	1.572925972E0
2.832900000E0	2.733805976E0	1.619531254E0
2.866233333E0	2.692107962E0	1.672190752E0
2.899555556E0	2.704630414E0	1.694601155E0
2.932877778E0	2.735160066E0	1.714536355E0
2.966211111E0	2.855007846E0	1.724208776E0
2.999544444E0	2.962759123E0	1.711864644E0
3.032866667E0	3.105492165E0	1.677502386E0
3.066188889E0	3.252763767E0	1.627380730E0
3.099533333E0	3.405622424E0	1.585514447E0
3.132855556E0	3.578641181E0	1.528788140E0
3.166177778E0	3.746719011E0	1.482414550E0
3.199500000E0	3.877558325E0	1.448761615E0
3.232844444E0	3.953484661E0	1.387829160E0
3.266166667E0	3.981857406E0	1.340839966E0
3.299488889E0	3.976822716E0	1.316669506E0
3.332822222E0	3.917141341E0	1.293712860E0
3.366155556E0	3.835340203E0	1.295480692E0
3.399477778E0	3.715733203E0	1.303680611E0
3.432800000E0	3.564944165E0	1.311397809E0
3.466133333E0	3.396464246E0	1.340069060E0
3.499466667E0	3.244649867E0	1.379683987E0
3.532788889E0	3.093929853E0	1.433629692E0
3.566122222E0	2.950457936E0	1.486777334E0
3.599444444E0	2.853636256E0	1.541346470E0
3.632777778E0	2.802131764E0	1.581403952E0
3.666111111E0	2.789132994E0	1.624413263E0
3.699433333E0	2.801449620E0	1.648343390E0
3.732755556E0	2.852441675E0	1.665422771E0
3.766100000E0	2.932069058E0	1.667380966E0
3.799422222E0	3.052994166E0	1.653628082E0
3.832744444E0	3.195802960E0	1.647657471E0
3.866077778E0	3.353586363E0	1.622347042E0
3.899411111E0	3.510370671E0	1.601133922E0
3.932733333E0	3.640477229E0	1.569443368E0
